x,y,z
-395.74,0.00,-408.60
-366.50,0.00,-408.60
-337.26,0.00,-408.60
-308.02,0.00,-408.60
-278.78,0.00,-408.60
-249.54,0.00,-408.60
-220.30,0.00,-408.60
-191.06,0.00,-408.60
-161.83,0.00,-408.60
-132.59,0.00,-408.60
-103.35,0.00,-408.60
-74.11,1.00,-408.60
-44.87,7.00,-408.60
-15.63,10.00,-408.60
13.61,10.00,-408.60
42.85,9.55,-408.60
72.09,10.32,-408.60
101.32,10.00,-408.60
130.56,11.00,-408.60
159.80,12.00,-408.60
189.04,13.00,-408.60
218.28,14.00,-408.60
247.52,15.00,-408.60
276.76,15.00,-408.60
306.00,15.00,-408.60
335.24,16.00,-408.60
364.48,15.00,-408.60
-395.74,0.00,-378.60
-366.50,0.00,-378.60
-337.26,0.00,-378.60
-308.02,0.00,-378.60
-278.78,0.00,-378.60
-249.54,0.00,-378.60
-220.30,0.00,-378.60
-191.06,0.00,-378.60
-161.83,0.00,-378.60
-132.59,0.00,-378.60
-103.35,0.00,-378.60
-74.11,1.00,-378.60
-44.87,8.00,-378.60
-15.63,11.00,-378.60
13.61,11.00,-378.60
42.85,9.78,-378.60
72.09,10.64,-378.60
101.32,11.17,-378.60
130.56,11.77,-378.60
159.80,12.34,-378.60
189.04,11.00,-378.60
218.28,13.00,-378.60
247.52,14.64,-378.60
276.76,16.00,-378.60
306.00,15.00,-378.60
335.24,15.28,-378.60
364.48,15.14,-378.60
-395.74,0.00,-348.60
-366.50,0.00,-348.60
-337.26,0.00,-348.60
-308.02,0.00,-348.60
-278.78,0.00,-348.60
-249.54,0.00,-348.60
-220.30,0.00,-348.60
-191.06,0.00,-348.60
-161.83,0.00,-348.60
-132.59,0.00,-348.60
-103.35,1.00,-348.60
-74.11,1.00,-348.60
-44.87,7.00,-348.60
-15.63,11.00,-348.60
13.61,9.14,-348.60
42.85,10.04,-348.60
72.09,11.31,-348.60
101.32,12.00,-348.60
130.56,12.19,-348.60
159.80,12.60,-348.60
189.04,13.17,-348.60
218.28,14.04,-348.60
247.52,15.00,-348.60
276.76,16.00,-348.60
306.00,16.00,-348.60
335.24,15.14,-348.60
364.48,14.59,-348.60
-395.74,0.00,-318.60
-366.50,0.00,-318.60
-337.26,0.00,-318.60
-308.02,0.00,-318.60
-278.78,0.00,-318.60
-249.54,0.00,-318.60
-220.30,0.00,-318.60
-191.06,0.00,-318.60
-161.83,0.00,-318.60
-132.59,0.00,-318.60
-103.35,1.00,-318.60
-74.11,2.00,-318.60
-44.87,7.00,-318.60
-15.63,10.00,-318.60
13.61,9.29,-318.60
42.85,11.20,-318.60
72.09,12.29,-318.60
101.32,12.48,-318.60
130.56,11.00,-318.60
159.80,11.00,-318.60
189.04,13.66,-318.60
218.28,13.00,-318.60
247.52,16.00,-318.60
276.76,16.00,-318.60
306.00,15.33,-318.60
335.24,14.76,-318.60
364.48,13.00,-318.60
-395.74,0.00,-288.60
-366.50,0.00,-288.60
-337.26,0.00,-288.60
-308.02,0.00,-288.60
-278.78,0.00,-288.60
-249.54,0.00,-288.60
-220.30,0.00,-288.60
-191.06,0.00,-288.60
-161.83,0.00,-288.60
-132.59,1.00,-288.60
-103.35,1.00,-288.60
