x,y,z,row,col
-695.46,0.00,-735.09,0,0
-666.21,0.00,-735.31,0,1
-636.96,0.00,-735.52,0,2
-607.72,0.00,-735.74,0,3
-578.47,0.00,-735.95,0,4
-549.22,0.00,-736.16,0,5
-519.98,0.00,-736.38,0,6
-490.73,0.00,-736.59,0,7
-461.48,0.00,-736.81,0,8
-432.24,0.00,-737.02,0,9
-402.99,0.00,-737.23,0,10
-373.74,0.00,-737.45,0,11
-344.49,0.00,-737.66,0,12
-315.25,0.00,-737.88,0,13
-286.00,7.67,-738.09,0,14
-256.75,7.68,-738.31,0,15
-227.51,7.57,-738.52,0,16
-198.26,7.60,-738.73,0,17
-169.01,7.92,-738.95,0,18
-139.77,7.92,-739.16,0,19
-110.52,7.95,-739.38,0,20
-81.27,7.97,-739.59,0,21
-52.03,8.04,-739.81,0,22
-22.78,8.48,-740.02,0,23
6.47,10.11,-740.24,0,24
35.71,10.00,-740.45,0,25
64.96,9.72,-740.66,0,26
94.21,8.55,-740.88,0,27
123.46,8.72,-741.09,0,28
152.70,8.53,-741.31,0,29
181.95,8.47,-741.52,0,30
211.20,8.43,-741.74,0,31
240.44,8.98,-741.95,0,32
269.69,8.51,-742.17,0,33
298.94,8.19,-742.38,0,34
328.18,8.04,-742.60,0,35
357.43,7.95,-742.81,0,36
386.68,7.88,-743.03,0,37
415.93,7.83,-743.24,0,38
445.17,7.81,-743.46,0,39
474.42,7.82,-743.67,0,40
503.67,7.87,-743.89,0,41
532.91,7.95,-744.10,0,42
562.16,8.24,-744.32,0,43
591.41,8.53,-744.53,0,44
620.65,9.42,-744.75,0,45
649.90,9.58,-744.96,0,46
679.15,9.98,-745.18,0,47
-695.24,0.00,-705.28,1,0
-665.99,0.00,-705.49,1,1
-636.75,0.00,-705.71,1,2
-607.50,0.00,-705.92,1,3
-578.25,0.00,-706.13,1,4
-549.00,0.00,-706.35,1,5
-519.76,0.00,-706.56,1,6
-490.51,0.00,-706.78,1,7
-461.26,0.00,-706.99,1,8
-432.02,0.00,-707.20,1,9
-402.77,0.00,-707.42,1,10
-373.52,0.00,-707.63,1,11
-344.28,0.00,-707.85,1,12
-315.03,7.84,-708.06,1,13
-285.78,7.84,-708.27,1,14
-256.54,7.84,-708.49,1,15
-227.29,7.72,-708.70,1,16
-198.04,7.80,-708.92,1,17
-168.79,7.70,-709.13,1,18
-139.55,7.70,-709.35,1,19
-110.30,7.87,-709.56,1,20
-81.05,7.93,-709.78,1,21
-51.81,8.01,-709.99,1,22
-22.56,8.28,-710.20,1,23
6.69,9.32,-710.42,1,24
35.93,9.60,-710.63,1,25
65.18,8.44,-710.85,1,26
94.43,8.87,-711.06,1,27
123.67,8.45,-711.28,1,28
152.92,8.47,-711.49,1,29
182.17,8.64,-711.71,1,30
211.42,8.47,-711.92,1,31
240.66,8.62,-712.14,1,32
269.91,8.15,-712.35,1,33
299.16,8.06,-712.57,1,34
328.40,7.96,-712.78,1,35
357.65,7.88,-713.00,1,36
386.90,7.81,-713.21,1,37
416.14,7.76,-713.43,1,38
445.39,7.75,-713.64,1,39
474.64,7.76,-713.86,1,40
503.89,7.80,-714.07,1,41
533.13,7.89,-714.29,1,42
562.38,8.03,-714.50,1,43
591.63,8.46,-714.72,1,44
620.87,9.41,-714.93,1,45
650.12,10.07,-715.15,1,46
679.37,9.82,-715.36,1,47
-695.02,0.00,-675.46,2,0
-665.77,0.00,-675.67,2,1
-636.53,0.00,-675.89,2,2
-607.28,0.00,-676.10,2,3
-578.03,0.00,-676.32,2,4
-548.79,0.00,-676.53,2,5
-519.54,0.00,-676.74,2,6
-490.29,0.00,-676.96,2,7
-461.05,0.00,-677.17,2,8
-431.80,0.00,-677.39,2,9
-402.55,0.00,-677.60,2,10
-373.30,0.00,-677.82,2,11
-344.06,7.89,-678.03,2,12
-314.81,7.92,-678.24,2,13
-285.56,8.10,-678.46,2,14
-256.32,8.38,-678.67,2,15
-227.07,8.18,-678.89,2,16
-197.82,8.20,-679.10,2,17
-168.58,7.93,-679.32,2,18
-139.33,7.93,-679.53,2,19
-110.08,7.91,-679.74,2,20
-80.84,8.20,-679.96,2,21
-51.59,8.16,-680.17,2,22
-22.34,8.30,-680.39,2,23
6.91,8.28,-680.60,2,24
36.15,8.80,-680.82,2,25
65.40,8.70,-681.03,2,26
94.65,8.57,-681.25,2,27
123.89,8.35,-681.46,2,28
153.14,8.53,-681.68,2,29
182.39,8.63,-681.89,2,30
211.63,8.63,-682.10,2,31
240.88,8.66,-682.32,2,32
270.13,8.28,-682.53,2,33
299.38,7.99,-682.75,2,34
328.62,7.89,-682.96,2,35
357.87,7.81,-683.18,2,36
387.12,7.75,-683.39,2,37
416.36,7.71,-683.61,2,38
445.61,7.70,-683.82,2,39
474.86,7.71,-684.04,2,40
504.10,7.75,-684.25,2,41
533.35,7.83,-684.47,2,42
562.60,7.95,-684.68,2,43
591.85,8.12,-684.90,2,44
621.09,8.30,-685.12,2,45
650.34,8.54,-685.33,2,46
679.59,9.80,-685.55,2,47
-694.80,0.00,-645.64,3,0
-665.56,0.00,-645.86,3,1
-636.31,0.00,-646.07,3,2
-607.06,0.00,-646.29,3,3
-577.82,0.00,-646.50,3,4
-548.57,0.00,-646.71,3,5
-519.32,0.00,-646.93,3,6
-490.07,0.00,-647.14,3,7
-460.83,7.76,-647.36,3,8
-431.58,7.83,-647.57,3,9
-402.33,7.89,-647.78,3,10
-373.09,7.91,-648.00,3,11
-343.84,8.05,-648.21,3,12
-314.59,7.93,-648.43,3,13
-285.35,8.52,-648.64,3,14
-256.10,8.22,-648.86,3,15
