x,y,z,row,col
-774.70,0.00,-748.41,0,0
-745.46,0.00,-748.62,0,1
-716.21,0.00,-748.84,0,2
-686.96,0.00,-749.05,0,3
-657.72,0.00,-749.27,0,4
-628.47,0.00,-749.48,0,5
-599.23,0.00,-749.70,0,6
-569.98,0.00,-749.91,0,7
-540.73,7.61,-750.13,0,8
-511.49,7.61,-750.34,0,9
-482.24,8.37,-750.56,0,10
-453.00,8.48,-750.77,0,11
-423.75,8.53,-750.99,0,12
-394.51,9.11,-751.20,0,13
-365.26,9.23,-751.42,0,14
-336.01,9.23,-751.64,0,15
-306.77,9.29,-751.85,0,16
-277.52,9.36,-752.07,0,17
-248.28,9.36,-752.28,0,18
-219.03,8.95,-752.50,0,19
-189.78,9.32,-752.71,0,20
-160.54,9.10,-752.93,0,21
-131.29,9.40,-753.14,0,22
-102.05,9.26,-753.36,0,23
-72.80,8.74,-753.58,0,24
-43.55,8.84,-753.79,0,25
-14.31,8.58,-754.01,0,26
14.94,8.06,-754.22,0,27
44.18,8.56,-754.44,0,28
73.43,8.34,-754.66,0,29
102.68,8.17,-754.87,0,30
131.92,7.89,-755.09,0,31
161.17,7.89,-755.30,0,32
190.41,7.95,-755.52,0,33
219.66,8.11,-755.74,0,34
248.91,8.37,-755.95,0,35
278.15,8.47,-756.17,0,36
307.40,8.61,-756.38,0,37
336.64,8.75,-756.60,0,38
365.89,9.20,-756.82,0,39
395.14,9.13,-757.03,0,40
424.38,9.44,-757.25,0,41
453.63,10.16,-757.47,0,42
482.87,10.38,-757.68,0,43
512.12,11.10,-757.90,0,44
541.37,11.63,-758.11,0,45
570.61,12.22,-758.33,0,46
599.86,12.54,-758.55,0,47
629.10,13.00,-758.76,0,48
658.35,13.27,-758.98,0,49
687.60,13.52,-759.20,0,50
716.84,13.40,-759.41,0,51
746.09,13.40,-759.63,0,52
-774.48,0.00,-718.59,1,0
-745.24,0.00,-718.80,1,1
-715.99,0.00,-719.02,1,2
-686.74,0.00,-719.23,1,3
-657.50,0.00,-719.45,1,4
-628.25,0.00,-719.66,1,5
-599.01,0.00,-719.88,1,6
-569.76,7.16,-720.10,1,7
-540.52,7.51,-720.31,1,8
-511.27,7.28,-720.53,1,9
-482.02,7.99,-720.74,1,10
-452.78,8.35,-720.96,1,11
-423.53,8.69,-721.17,1,12
-394.29,8.76,-721.39,1,13
-365.04,9.23,-721.60,1,14
-335.79,8.78,-721.82,1,15
-306.55,8.86,-722.03,1,16
-277.30,8.92,-722.25,1,17
-248.06,8.92,-722.47,1,18
-218.81,9.48,-722.68,1,19
-189.56,9.47,-722.90,1,20
-160.32,9.24,-723.11,1,21
-131.07,9.43,-723.33,1,22
-101.83,9.02,-723.54,1,23
-72.58,9.14,-723.76,1,24
-43.33,8.85,-723.97,1,25
-14.09,8.75,-724.19,1,26
15.16,8.59,-724.41,1,27
44.40,8.85,-724.62,1,28
73.65,8.63,-724.84,1,29
102.90,8.48,-725.05,1,30
132.14,8.44,-725.27,1,31
161.39,8.48,-725.49,1,32
190.63,8.32,-725.70,1,33
219.88,8.59,-725.92,1,34
249.13,8.56,-726.13,1,35
278.37,8.67,-726.35,1,36
307.62,9.03,-726.57,1,37
336.86,9.13,-726.78,1,38
366.11,9.22,-727.00,1,39
395.36,9.29,-727.22,1,40
424.60,10.20,-727.43,1,41
453.85,10.03,-727.65,1,42
483.09,10.62,-727.86,1,43
512.34,11.41,-728.08,1,44
541.59,11.67,-728.30,1,45
570.83,12.29,-728.51,1,46
600.08,12.75,-728.73,1,47
629.32,12.90,-728.95,1,48
658.57,13.18,-729.16,1,49
687.82,13.48,-729.38,1,50
717.06,14.01,-729.60,1,51
746.31,14.01,-729.81,1,52
-774.26,0.00,-688.77,2,0
-745.02,0.00,-688.99,2,1
-715.77,0.00,-689.20,2,2
-686.53,0.00,-689.42,2,3
-657.28,0.00,-689.63,2,4
-628.03,0.00,-689.85,2,5
-598.79,0.00,-690.06,2,6
-569.54,6.99,-690.28,2,7
-540.30,6.96,-690.49,2,8
-511.05,7.51,-690.71,2,9
-481.80,7.82,-690.92,2,10
-452.56,8.18,-691.14,2,11
-423.31,8.28,-691.36,2,12
-394.07,8.95,-691.57,2,13
-364.82,8.68,-691.79,2,14
-335.57,8.96,-692.00,2,15
-306.33,8.91,-692.22,2,16
-277.08,9.33,-692.43,2,17
-247.84,9.33,-692.65,2,18
-218.59,9.21,-692.86,2,19
-189.34,9.39,-693.08,2,20
-160.10,9.57,-693.30,2,21
-130.85,9.23,-693.51,2,22
-101.61,9.19,-693.73,2,23
-72.36,9.18,-693.94,2,24
-43.11,9.44,-694.16,2,25
-13.87,9.00,-694.37,2,26
15.38,9.06,-694.59,2,27
44.62,8.90,-694.81,2,28
73.87,8.77,-695.02,2,29
103.12,8.84,-695.24,2,30
132.36,8.69,-695.45,2,31
161.61,8.46,-695.67,2,32
190.85,8.57,-695.89,2,33
220.10,8.58,-696.10,2,34
249.35,8.67,-696.32,2,35
278.59,8.82,-696.53,2,36
307.84,9.10,-696.75,2,37
337.08,9.55,-696.97,2,38
366.33,9.78,-697.18,2,39
395.58,9.61,-697.40,2,40
424.82,10.08,-697.62,2,41
454.07,10.47,-697.83,2,42
483.32,11.14,-698.05,2,43
512.56,11.42,-698.26,2,44
541.81,11.71,-698.48,2,45
571.05,12.26,-698.70,2,46
600.30,12.70,-698.91,2,47
629.55,12.93,-699.13,2,48
658.79,13.20,-699.35,2,49
688.04,13.41,-699.56,2,50
717.28,14.01,-699.78,2,51
746.53,14.01,-700.00,2,52
-774.04,0.00,-658.96,3,0
-744.80,0.00,-659.17,3,1
-715.55,0.00,-659.39,3,2
-686.31,0.00,-659.60,3,3
-657.06,0.00,-659.82,3,4
-627.81,0.00,-660.03,3,5
-598.57,0.00,-660.25,3,6
-569.32,6.94,-660.46,3,7
-540.08,6.92,-660.68,3,8
-510.83,7.49,-660.89,3,9
-481.58,7.61,-661.11,3,10
-452.34,8.05,-661.32,3,11
-423.09,8.67,-661.54,3,12
-393.85,8.45,-661.75,3,13
-364.60,8.62,-661.97,3,14
-335.35,9.07,-662.18,3,15
-306.11,8.95,-662.40,3,16
-276.86,9.05,-662.62,3,17
-247.62,9.05,-662.83,3,18
-218.37,9.28,-663.05,3,19
-189.12,9.33,-663.26,3,20
-159.88,9.55,-663.48,3,21
-130.63,9.71,-663.69,3,22
-101.39,9.76,-663.91,3,23
-72.14,9.76,-664.13,3,24
-42.89,9.28,-664.34,3,25
-13.65,9.38,-664.56,3,26
15.60,9.11,-664.77,3,27
44.84,9.09,-664.99,3,28
74.09,9.07,-665.20,3,29
103.34,8.69,-665.42,3,30
132.58,8.64,-665.64,3,31
161.83,8.71,-665.85,3,32
191.07,8.86,-666.07,3,33
220.32,8.85,-666.28,3,34
249.57,8.77,-666.50,3,35
