x,y,z,row,col
-618.56,7.79,-654.00,0,0
-589.31,7.78,-654.21,0,1
-560.06,7.74,-654.42,0,2
-530.82,7.82,-654.64,0,3
-501.57,7.87,-654.85,0,4
-472.32,7.97,-655.07,0,5
-443.07,7.92,-655.28,0,6
-413.83,8.00,-655.50,0,7
-384.58,7.99,-655.71,0,8
-355.33,8.07,-655.93,0,9
-326.08,8.01,-656.14,0,10
-296.84,8.12,-656.36,0,11
-267.59,8.07,-656.57,0,12
-238.34,7.93,-656.79,0,13
-209.09,7.86,-657.00,0,14
-179.85,7.82,-657.22,0,15
-150.60,7.80,-657.43,0,16
-121.35,7.80,-657.65,0,17
-92.10,7.81,-657.87,0,18
-62.86,7.82,-658.08,0,19
-33.61,7.83,-658.30,0,20
-4.36,7.87,-658.51,0,21
24.89,7.87,-658.73,0,22
54.13,7.83,-658.94,0,23
83.38,7.83,-659.16,0,24
112.63,7.84,-659.37,0,25
141.88,7.88,-659.59,0,26
171.12,7.95,-659.80,0,27
200.37,8.07,-660.02,0,28
229.62,8.23,-660.24,0,29
258.87,8.59,-660.45,0,30
288.11,9.21,-660.67,0,31
317.36,9.31,-660.88,0,32
346.61,9.83,-661.10,0,33
375.86,9.81,-661.31,0,34
405.10,9.78,-661.53,0,35
434.35,9.83,-661.75,0,36
463.60,9.51,-661.96,0,37
492.85,9.48,-662.18,0,38
522.09,9.24,-662.39,0,39
551.34,9.13,-662.61,0,40
580.59,8.94,-662.82,0,41
-618.34,7.84,-624.18,1,0
-589.09,7.81,-624.39,1,1
-559.84,7.82,-624.61,1,2
-530.60,7.88,-624.82,1,3
-501.35,7.90,-625.04,1,4
-472.10,8.04,-625.25,1,5
-442.85,8.10,-625.47,1,6
-413.61,8.00,-625.68,1,7
-384.36,8.08,-625.90,1,8
-355.11,8.22,-626.11,1,9
-325.86,8.15,-626.33,1,10
-296.62,8.02,-626.54,1,11
-267.37,8.03,-626.76,1,12
-238.12,7.92,-626.97,1,13
-208.87,7.83,-627.19,1,14
-179.63,7.79,-627.40,1,15
-150.38,7.76,-627.62,1,16
-121.13,7.75,-627.83,1,17
-91.88,7.75,-628.05,1,18
-62.64,7.76,-628.26,1,19
-33.39,7.77,-628.48,1,20
-4.14,7.80,-628.69,1,21
25.11,7.80,-628.91,1,22
54.35,7.78,-629.13,1,23
83.60,7.78,-629.34,1,24
112.85,7.79,-629.56,1,25
142.10,7.83,-629.77,1,26
171.34,7.90,-629.99,1,27
200.59,8.01,-630.20,1,28
229.84,8.18,-630.42,1,29
259.09,8.54,-630.63,1,30
288.33,9.13,-630.85,1,31
317.58,9.67,-631.07,1,32
346.83,9.55,-631.28,1,33
376.08,9.86,-631.50,1,34
405.32,9.93,-631.71,1,35
434.57,9.79,-631.93,1,36
463.82,9.56,-632.14,1,37
493.07,9.52,-632.36,1,38
522.31,9.37,-632.58,1,39
551.56,9.09,-632.79,1,40
580.81,8.95,-633.01,1,41
-618.12,7.88,-594.36,2,0
-588.87,7.84,-594.58,2,1
-559.63,7.87,-594.79,2,2
-530.38,8.00,-595.01,2,3
-501.13,7.91,-595.22,2,4
-471.88,8.12,-595.44,2,5
-442.64,8.01,-595.65,2,6
-413.39,8.13,-595.87,2,7
-384.14,8.13,-596.08,2,8
-354.89,8.09,-596.30,2,9
-325.65,8.07,-596.51,2,10
-296.40,8.00,-596.73,2,11
-267.15,8.02,-596.94,2,12
-237.90,7.96,-597.16,2,13
-208.66,7.80,-597.37,2,14
-179.41,7.75,-597.59,2,15
-150.16,7.72,-597.80,2,16
-120.91,7.71,-598.02,2,17
-91.67,7.71,-598.23,2,18
-62.42,7.71,-598.45,2,19
-33.17,7.74,-598.66,2,20
-3.92,7.73,-598.88,2,21
25.32,7.73,-599.09,2,22
54.57,7.74,-599.31,2,23
83.82,7.74,-599.52,2,24
113.07,7.75,-599.74,2,25
142.32,7.79,-599.95,2,26
171.56,7.87,-600.17,2,27
200.81,7.98,-600.39,2,28
230.06,8.15,-600.60,2,29
259.31,8.48,-600.82,2,30
288.55,9.20,-601.03,2,31
317.80,9.69,-601.25,2,32
347.05,10.01,-601.46,2,33
376.30,10.04,-601.68,2,34
405.54,9.94,-601.90,2,35
434.79,9.81,-602.11,2,36
464.04,9.63,-602.33,2,37
493.29,9.65,-602.54,2,38
522.53,9.38,-602.76,2,39
551.78,9.23,-602.97,2,40
581.03,8.98,-603.19,2,41
-617.90,7.90,-564.55,3,0
-588.65,7.86,-564.76,3,1
-559.41,7.88,-564.97,3,2
-530.16,7.88,-565.19,3,3
-500.91,8.11,-565.40,3,4
-471.66,8.14,-565.62,3,5
-442.42,8.11,-565.83,3,6
-413.17,8.04,-566.05,3,7
-383.92,8.07,-566.26,3,8
-354.67,8.15,-566.48,3,9
-325.43,8.14,-566.69,3,10
-296.18,8.03,-566.91,3,11
-266.93,7.90,-567.12,3,12
-237.68,7.82,-567.34,3,13
-208.44,7.76,-567.55,3,14
-179.19,7.71,-567.77,3,15
-149.94,7.68,-567.98,3,16
-120.69,7.67,-568.20,3,17
-91.45,7.67,-568.41,3,18
-62.20,7.68,-568.63,3,19
-32.95,7.69,-568.85,3,20
-3.70,7.70,-569.06,3,21
25.54,7.70,-569.28,3,22
54.79,7.70,-569.49,3,23
84.04,7.74,-569.71,3,24
113.29,7.74,-569.92,3,25
142.53,7.78,-570.14,3,26
171.78,7.86,-570.35,3,27
201.03,7.98,-570.57,3,28
230.28,8.17,-570.78,3,29
259.53,8.45,-571.00,3,30
288.77,9.40,-571.22,3,31
318.02,9.70,-571.43,3,32
347.27,9.87,-571.65,3,33
376.52,10.11,-571.86,3,34
405.76,10.08,-572.08,3,35
435.01,10.14,-572.29,3,36
464.26,9.72,-572.51,3,37
493.51,9.57,-572.73,3,38
522.75,9.41,-572.94,3,39
552.00,9.18,-573.16,3,40
581.25,9.08,-573.37,3,41
-617.68,7.90,-534.73,4,0
-588.44,7.86,-534.94,4,1
-559.19,7.88,-535.16,4,2
-529.94,7.88,-535.37,4,3
-500.69,8.11,-535.59,4,4
-471.45,8.14,-535.80,4,5
-442.20,8.11,-536.02,4,6
-412.95,8.04,-536.23,4,7
-383.70,8.07,-536.45,4,8
-354.45,8.15,-536.66,4,9
-325.21,8.14,-536.88,4,10
-295.96,8.03,-537.09,4,11
-266.71,7.90,-537.31,4,12
-237.46,7.82,-537.52,4,13
-208.22,7.76,-537.74,4,14
-178.97,7.71,-537.95,4,15
-149.72,7.68,-538.17,4,16
-120.47,7.67,-538.38,4,17
-91.23,7.67,-538.60,4,18
-61.98,7.68,-538.81,4,19
-32.73,7.69,-539.03,4,20
-3.48,7.70,-539.24,4,21
25.76,7.70,-539.46,4,22
55.01,7.70,-539.67,4,23
84.26,7.74,-539.89,4,24
113.51,7.74,-540.11,4,25
142.75,7.78,-540.32,4,26
172.00,7.86,-540.54,4,27
201.25,7.98,-540.75,4,28
230.50,8.17,-540.97,4,29
259.75,8.45,-541.18,4,30
288.99,9.40,-541.40,4,31
318.24,9.70,-541.61,4,32
347.49,9.87,-541.83,4,33
376.74,10.11,-542.05,4,34
405.98,10.08,-542.26,4,35
435.23,10.14,-542.48,4,36
464.48,9.72,-542.69,4,37
493.73,9.57,-542.91,4,38
522.97,9.41,-543.13,4,39
552.22,9.18,-543.34,4,40
581.47,9.08,-543.56,4,41
-617.46,7.90,-504.91,5,0
-588.22,7.86,-505.13,5,1
-558.97,7.85,-505.34,5,2
-529.72,7.87,-505.56,5,3
-500.47,7.92,-505.77,5,4
-471.23,8.12,-505.99,5,5
-441.98,8.07,-506.20,5,6
-412.73,8.09,-506.42,5,7
-383.48,8.04,-506.63,5,8
-354.24,7.99,-506.85,5,9
-324.99,7.97,-507.06,5,10
-295.74,7.90,-507.28,5,11
-266.49,7.83,-507.49,5,12
-237.25,7.80,-507.71,5,13
-208.00,7.73,-507.92,5,14
-178.75,7.69,-508.14,5,15
-149.50,7.66,-508.35,5,16
-120.25,7.65,-508.57,5,17
-91.01,7.65,-508.78,5,18
-61.76,7.66,-509.00,5,19
-32.51,7.67,-509.21,5,20
-3.26,7.68,-509.43,5,21
25.98,7.68,-509.64,5,22
55.23,7.69,-509.86,5,23
84.48,7.71,-510.07,5,24
113.73,7.74,-510.29,5,25
142.97,7.79,-510.50,5,26
172.22,7.87,-510.72,5,27
201.47,8.00,-510.94,5,28
230.72,8.17,-511.15,5,29
259.96,8.47,-511.37,5,30
289.21,9.41,-511.58,5,31
318.46,9.98,-511.80,5,32
347.71,10.14,-512.01,5,33
376.96,10.17,-512.23,5,34
406.20,10.19,-512.44,5,35
435.45,10.17,-512.66,5,36
464.70,9.87,-512.88,5,37
493.95,10.00,-513.09,5,38
523.19,9.70,-513.31,5,39
552.44,9.29,-513.52,5,40
581.69,9.14,-513.74,5,41
-617.25,7.89,-475.09,6,0
-588.00,7.85,-475.31,6,1
-558.75,7.83,-475.52,6,2
-529.50,7.87,-475.74,6,3
-500.25,7.91,-475.95,6,4
-471.01,7.94,-476.17,6,5
-441.76,7.97,-476.38,6,6
-412.51,8.03,-476.60,6,7
-383.26,7.97,-476.81,6,8
-354.02,7.98,-477.03,6,9
-324.77,7.92,-477.24,6,10
-295.52,7.85,-477.46,6,11
-266.27,7.79,-477.67,6,12
-237.03,7.74,-477.89,6,13
-207.78,7.70,-478.10,6,14
-178.53,7.67,-478.32,6,15
-149.28,7.65,-478.53,6,16
-120.04,7.65,-478.75,6,17
-90.79,7.65,-478.96,6,18
-61.54,7.66,-479.18,6,19
-32.29,7.67,-479.39,6,20
-3.04,7.68,-479.61,6,21
26.20,7.68,-479.83,6,22
55.45,7.72,-480.04,6,23
84.70,7.75,-480.26,6,24
113.95,7.76,-480.47,6,25
143.19,7.82,-480.69,6,26
172.44,7.91,-480.90,6,27
201.69,8.08,-481.12,6,28
230.94,8.27,-481.33,6,29
260.18,8.98,-481.55,6,30
289.43,9.85,-481.77,6,31
318.68,9.99,-481.98,6,32
347.93,10.19,-482.20,6,33
377.18,10.45,-482.41,6,34
406.42,10.41,-482.63,6,35
435.67,10.42,-482.84,6,36
464.92,10.12,-483.06,6,37
494.17,9.94,-483.28,6,38
523.41,9.74,-483.49,6,39
552.66,9.38,-483.71,6,40
581.91,9.21,-483.92,6,41
-617.03,7.86,-445.28,7,0
-587.78,7.81,-445.49,7,1
-558.53,7.80,-445.71,7,2
-529.28,7.82,-445.92,7,3
-500.04,7.98,-446.14,7,4
-470.79,7.99,-446.35,7,5
-441.54,7.93,-446.57,7,6
-412.29,8.03,-446.78,7,7
-383.05,7.99,-447.00,7,8
-353.80,7.90,-447.21,7,9
-324.55,7.86,-447.43,7,10
-295.30,7.82,-447.64,7,11
-266.05,7.77,-447.86,7,12
-236.81,7.73,-448.07,7,13
-207.56,7.70,-448.29,7,14
-178.31,7.68,-448.50,7,15
-149.06,7.67,-448.72,7,16
-119.82,7.67,-448.93,7,17
-90.57,7.67,-449.15,7,18
-61.32,7.68,-449.36,7,19
-32.07,7.71,-449.58,7,20
-2.83,7.71,-449.79,7,21
26.42,7.71,-450.01,7,22
55.67,7.72,-450.22,7,23
84.92,7.75,-450.44,7,24
114.17,7.80,-450.65,7,25
143.41,7.92,-450.87,7,26
172.66,7.97,-451.09,7,27
201.91,8.12,-451.30,7,28
231.16,8.57,-451.52,7,29
260.40,9.75,-451.73,7,30
289.65,10.37,-451.95,7,31
318.90,10.57,-452.16,7,32
348.15,10.51,-452.38,7,33
377.40,10.53,-452.60,7,34
406.64,10.62,-452.81,7,35
435.89,10.58,-453.03,7,36
465.14,10.42,-453.24,7,37
494.39,10.25,-453.46,7,38
523.63,9.99,-453.67,7,39
552.88,9.69,-453.89,7,40
582.13,9.49,-454.11,7,41
-616.81,7.82,-415.46,8,0
-587.56,7.78,-415.68,8,1
-558.31,7.77,-415.89,8,2
-529.06,7.79,-416.11,8,3
-499.82,7.82,-416.32,8,4
-470.57,7.93,-416.54,8,5
-441.32,7.97,-416.75,8,6
-412.07,7.94,-416.96,8,7
-382.83,7.90,-417.18,8,8
-353.58,7.88,-417.39,8,9
-324.33,7.86,-417.61,8,10
-295.08,7.80,-417.82,8,11
-265.84,7.77,-418.04,8,12
-236.59,7.74,-418.25,8,13
-207.34,7.72,-418.47,8,14
-178.09,7.71,-418.69,8,15
-148.84,7.71,-418.90,8,16
-119.60,7.71,-419.12,8,17
-90.35,7.72,-419.33,8,18
-61.10,7.73,-419.55,8,19
-31.85,7.74,-419.76,8,20
-2.61,7.76,-419.98,8,21
26.64,7.76,-420.19,8,22
55.89,7.78,-420.41,8,23
85.14,7.81,-420.62,8,24
114.39,7.87,-420.84,8,25
143.63,7.95,-421.05,8,26
172.88,8.11,-421.27,8,27
202.13,8.35,-421.48,8,28
231.38,8.98,-421.70,8,29
260.62,10.29,-421.92,8,30
289.87,10.75,-422.13,8,31
319.12,10.48,-422.35,8,32
348.37,10.60,-422.56,8,33
377.62,10.67,-422.78,8,34
406.86,10.81,-422.99,8,35
436.11,10.73,-423.21,8,36
465.36,10.63,-423.43,8,37
494.61,10.43,-423.64,8,38
523.85,10.38,-423.86,8,39
553.10,9.95,-424.07,8,40
582.35,9.67,-424.29,8,41
-616.59,7.79,-385.64,9,0
-587.34,7.74,-385.86,9,1
-558.09,7.74,-386.07,9,2
-528.85,7.75,-386.29,9,3
-499.60,7.79,-386.50,9,4
-470.35,7.88,-386.72,9,5
-441.10,7.96,-386.93,9,6
-411.85,7.92,-387.15,9,7
-382.61,7.94,-387.36,9,8
-353.36,7.89,-387.58,9,9
-324.11,7.84,-387.79,9,10
-294.86,7.82,-388.01,9,11
-265.62,7.79,-388.22,9,12
-236.37,7.78,-388.44,9,13
-207.12,7.77,-388.65,9,14
