x,y,z,row,col
-732.21,0.00,-713.78,0,0
-702.96,0.00,-714.00,0,1
-673.72,0.00,-714.21,0,2
-644.47,0.00,-714.43,0,3
-615.23,0.00,-714.65,0,4
-585.98,0.00,-714.86,0,5
-556.74,0.00,-715.08,0,6
-527.49,0.00,-715.29,0,7
-498.25,0.00,-715.51,0,8
-469.00,0.00,-715.72,0,9
-439.76,0.00,-715.94,0,10
-410.51,6.10,-716.15,0,11
-381.27,6.17,-716.37,0,12
-352.02,6.31,-716.59,0,13
-322.78,6.83,-716.80,0,14
-293.54,7.22,-717.02,0,15
-264.29,7.22,-717.23,0,16
-235.05,7.86,-717.45,0,17
-205.80,7.77,-717.66,0,18
-176.56,8.28,-717.88,0,19
-147.31,8.64,-718.10,0,20
-118.07,10.18,-718.31,0,21
-88.82,11.59,-718.53,0,22
-59.58,14.49,-718.74,0,23
-30.33,15.41,-718.96,0,24
-1.09,16.17,-719.18,0,25
28.16,17.36,-719.39,0,26
57.40,17.25,-719.61,0,27
86.65,17.88,-719.82,0,28
115.89,18.26,-720.04,0,29
145.14,18.00,-720.26,0,30
174.38,18.29,-720.47,0,31
203.63,18.69,-720.69,0,32
232.87,18.53,-720.90,0,33
262.12,19.04,-721.12,0,34
291.36,19.19,-721.34,0,35
320.61,18.78,-721.55,0,36
349.85,19.43,-721.77,0,37
379.10,19.45,-721.99,0,38
408.34,19.97,-722.20,0,39
437.59,20.31,-722.42,0,40
466.83,20.64,-722.64,0,41
496.08,21.86,-722.85,0,42
525.32,23.22,-723.07,0,43
554.57,24.30,-723.29,0,44
583.81,24.46,-723.50,0,45
613.06,23.96,-723.72,0,46
642.30,23.52,-723.94,0,47
671.55,23.70,-724.15,0,48
-731.99,0.00,-683.97,1,0
-702.74,0.00,-684.18,1,1
-673.50,0.00,-684.40,1,2
-644.25,0.00,-684.61,1,3
-615.01,0.00,-684.83,1,4
-585.76,0.00,-685.04,1,5
-556.52,0.00,-685.26,1,6
-527.27,0.00,-685.48,1,7
-498.03,0.00,-685.69,1,8
-468.78,0.00,-685.91,1,9
-439.54,0.00,-686.12,1,10
-410.29,6.07,-686.34,1,11
-381.05,5.99,-686.55,1,12
-351.80,6.16,-686.77,1,13
-322.56,6.82,-686.98,1,14
-293.32,7.34,-687.20,1,15
-264.07,7.34,-687.42,1,16
-234.83,7.54,-687.63,1,17
-205.58,7.79,-687.85,1,18
-176.34,8.04,-688.06,1,19
-147.09,8.52,-688.28,1,20
-117.85,10.24,-688.49,1,21
-88.60,10.38,-688.71,1,22
-59.36,13.42,-688.93,1,23
-30.11,14.87,-689.14,1,24
-0.87,15.66,-689.36,1,25
28.38,16.83,-689.57,1,26
57.62,17.29,-689.79,1,27
86.87,17.33,-690.01,1,28
116.11,17.43,-690.22,1,29
145.36,17.90,-690.44,1,30
174.60,17.85,-690.66,1,31
203.85,18.21,-690.87,1,32
233.09,18.64,-691.09,1,33
262.34,18.38,-691.30,1,34
