x,y,z,row,col
-1121.90,0.00,-1156.83,0,0
-1092.66,0.00,-1157.05,0,1
-1063.41,0.00,-1157.26,0,2
-1034.17,0.00,-1157.48,0,3
-1004.92,0.00,-1157.69,0,4
-975.67,0.00,-1157.91,0,5
-946.43,0.00,-1158.12,0,6
-917.18,0.00,-1158.34,0,7
-887.94,0.00,-1158.55,0,8
-858.69,0.00,-1158.77,0,9
-829.45,0.00,-1158.99,0,10
-800.20,0.00,-1159.20,0,11
-770.96,0.00,-1159.42,0,12
-741.71,0.00,-1159.63,0,13
-712.46,0.00,-1159.85,0,14
-683.22,0.00,-1160.06,0,15
-653.97,0.00,-1160.28,0,16
-624.73,5.92,-1160.49,0,17
-595.48,5.84,-1160.71,0,18
-566.24,5.91,-1160.92,0,19
-536.99,5.99,-1161.14,0,20
-507.75,6.24,-1161.35,0,21
-478.50,6.54,-1161.57,0,22
-449.25,6.54,-1161.79,0,23
-420.01,6.89,-1162.00,0,24
-390.76,6.97,-1162.22,0,25
-361.52,7.56,-1162.43,0,26
-332.27,7.54,-1162.65,0,27
-303.03,7.84,-1162.86,0,28
-273.78,7.88,-1163.08,0,29
-244.54,8.00,-1163.30,0,30
-215.29,8.20,-1163.51,0,31
-186.04,8.00,-1163.73,0,32
-156.80,8.25,-1163.94,0,33
-127.55,8.35,-1164.16,0,34
-98.31,8.22,-1164.38,0,35
-69.06,8.32,-1164.59,0,36
-39.82,8.38,-1164.81,0,37
-10.57,8.28,-1165.02,0,38
18.67,8.24,-1165.24,0,39
47.92,8.24,-1165.46,0,40
77.17,8.10,-1165.67,0,41
106.41,8.07,-1165.89,0,42
135.66,8.04,-1166.11,0,43
164.90,7.99,-1166.32,0,44
194.15,7.97,-1166.54,0,45
223.39,7.97,-1166.75,0,46
252.64,7.97,-1166.97,0,47
281.89,8.00,-1167.19,0,48
311.13,8.06,-1167.40,0,49
340.38,8.11,-1167.62,0,50
369.62,8.20,-1167.84,0,51
398.87,8.29,-1168.05,0,52
428.11,8.42,-1168.27,0,53
457.36,8.62,-1168.49,0,54
486.60,8.86,-1168.70,0,55
515.85,9.12,-1168.92,0,56
545.10,9.12,-1169.14,0,57
574.34,9.62,-1169.35,0,58
603.59,9.72,-1169.57,0,59
632.83,10.58,-1169.79,0,60
662.08,11.30,-1170.00,0,61
691.32,12.06,-1170.22,0,62
720.57,12.22,-1170.44,0,63
749.82,12.42,-1170.65,0,64
779.06,12.67,-1170.87,0,65
808.31,12.78,-1171.09,0,66
837.55,12.81,-1171.30,0,67
866.80,12.93,-1171.52,0,68
896.04,13.05,-1171.74,0,69
925.29,13.19,-1171.96,0,70
954.54,13.40,-1172.17,0,71
983.78,13.70,-1172.39,0,72
1013.03,14.17,-1172.61,0,73
1042.27,14.33,-1172.82,0,74
1071.52,15.68,-1173.04,0,75
1100.76,17.79,-1173.26,0,76
-1121.68,0.00,-1127.02,1,0
-1092.44,0.00,-1127.23,1,1
-1063.19,0.00,-1127.45,1,2
-1033.95,0.00,-1127.66,1,3
-1004.70,0.00,-1127.88,1,4
-975.45,0.00,-1128.09,1,5
-946.21,0.00,-1128.31,1,6
-916.96,0.00,-1128.52,1,7
-887.72,0.00,-1128.74,1,8
-858.47,0.00,-1128.95,1,9
-829.23,0.00,-1129.17,1,10
-799.98,0.00,-1129.38,1,11
-770.74,0.00,-1129.60,1,12
-741.49,0.00,-1129.81,1,13
-712.25,0.00,-1130.03,1,14
-683.00,0.00,-1130.24,1,15
-653.75,0.00,-1130.46,1,16
-624.51,5.92,-1130.68,1,17
-595.26,5.85,-1130.89,1,18
-566.02,5.89,-1131.11,1,19
-536.77,5.95,-1131.32,1,20
-507.53,6.03,-1131.54,1,21
-478.28,6.12,-1131.75,1,22
-449.04,6.12,-1131.97,1,23
-419.79,6.60,-1132.18,1,24
-390.54,6.62,-1132.40,1,25
-361.30,7.15,-1132.62,1,26
-332.05,7.19,-1132.83,1,27
-302.81,7.26,-1133.05,1,28
-273.56,7.63,-1133.26,1,29
-244.32,7.81,-1133.48,1,30
-215.07,7.79,-1133.70,1,31
-185.82,7.86,-1133.91,1,32
-156.58,8.07,-1134.13,1,33
-127.33,8.05,-1134.34,1,34
-98.09,8.15,-1134.56,1,35
-68.84,8.13,-1134.78,1,36
-39.60,8.29,-1134.99,1,37
-10.35,8.21,-1135.21,1,38
18.89,8.19,-1135.42,1,39
48.14,8.12,-1135.64,1,40
77.39,8.09,-1135.86,1,41
106.63,8.06,-1136.07,1,42
135.88,8.03,-1136.29,1,43
165.12,8.01,-1136.50,1,44
194.37,7.98,-1136.72,1,45
223.61,7.97,-1136.94,1,46
252.86,7.98,-1137.15,1,47
282.11,8.00,-1137.37,1,48
311.35,8.04,-1137.59,1,49
340.60,8.11,-1137.80,1,50
369.84,8.19,-1138.02,1,51
399.09,8.38,-1138.24,1,52
428.33,8.44,-1138.45,1,53
457.58,8.76,-1138.67,1,54
486.83,9.00,-1138.89,1,55
516.07,9.35,-1139.10,1,56
545.32,9.35,-1139.32,1,57
574.56,9.61,-1139.54,1,58
603.81,10.24,-1139.75,1,59
633.05,10.85,-1139.97,1,60
662.30,11.88,-1140.19,1,61
691.55,12.12,-1140.40,1,62
720.79,12.45,-1140.62,1,63
750.04,12.59,-1140.84,1,64
779.28,12.92,-1141.05,1,65
808.53,12.81,-1141.27,1,66
837.77,12.92,-1141.49,1,67
867.02,13.02,-1141.70,1,68
896.27,13.14,-1141.92,1,69
925.51,13.27,-1142.14,1,70
954.76,13.53,-1142.36,1,71
984.00,13.79,-1142.57,1,72
1013.25,14.28,-1142.79,1,73
1042.49,14.35,-1143.01,1,74
1071.74,15.13,-1143.22,1,75
1100.99,16.58,-1143.44,1,76
-1121.46,0.00,-1097.20,2,0
-1092.22,0.00,-1097.42,2,1
-1062.97,0.00,-1097.63,2,2
-1033.73,0.00,-1097.85,2,3
-1004.48,0.00,-1098.06,2,4
-975.24,0.00,-1098.28,2,5
-945.99,0.00,-1098.49,2,6
-916.74,0.00,-1098.71,2,7
-887.50,0.00,-1098.92,2,8
-858.25,0.00,-1099.14,2,9
-829.01,0.00,-1099.35,2,10
-799.76,0.00,-1099.57,2,11
-770.52,0.00,-1099.78,2,12
-741.27,0.00,-1100.00,2,13
-712.03,0.00,-1100.21,2,14
-682.78,0.00,-1100.43,2,15
-653.53,5.98,-1100.64,2,16
-624.29,5.98,-1100.86,2,17
-595.04,5.89,-1101.07,2,18
-565.80,5.92,-1101.29,2,19
-536.55,5.96,-1101.51,2,20
-507.31,5.99,-1101.72,2,21
-478.06,6.09,-1101.94,2,22
-448.82,6.09,-1102.15,2,23
-419.57,6.19,-1102.37,2,24
-390.32,6.32,-1102.58,2,25
-361.08,6.65,-1102.80,2,26
-331.83,7.14,-1103.02,2,27
-302.59,6.81,-1103.23,2,28
-273.34,7.47,-1103.45,2,29
-244.10,7.71,-1103.66,2,30
-214.85,7.59,-1103.88,2,31
-185.60,7.81,-1104.09,2,32
-156.36,7.81,-1104.31,2,33
-127.11,7.76,-1104.53,2,34
-97.87,7.81,-1104.74,2,35
-68.62,8.01,-1104.96,2,36
-39.38,8.14,-1105.17,2,37
-10.13,8.21,-1105.39,2,38
19.12,8.22,-1105.61,2,39
48.36,8.10,-1105.82,2,40
77.61,8.11,-1106.04,2,41
106.85,8.07,-1106.26,2,42
136.10,8.05,-1106.47,2,43
165.34,8.03,-1106.69,2,44
194.59,8.01,-1106.90,2,45
223.83,8.00,-1107.12,2,46
253.08,8.00,-1107.34,2,47
282.33,8.03,-1107.55,2,48
311.57,8.07,-1107.77,2,49
340.82,8.14,-1107.99,2,50
370.06,8.23,-1108.20,2,51
399.31,8.35,-1108.42,2,52
428.56,8.56,-1108.64,2,53
457.80,8.84,-1108.85,2,54
487.05,9.04,-1109.07,2,55
516.29,9.71,-1109.29,2,56
545.54,9.71,-1109.50,2,57
574.78,9.75,-1109.72,2,58
604.03,10.71,-1109.94,2,59
633.28,11.31,-1110.15,2,60
662.52,12.23,-1110.37,2,61
691.77,12.37,-1110.59,2,62
721.01,12.70,-1110.80,2,63
750.26,12.86,-1111.02,2,64
779.50,12.96,-1111.24,2,65
808.75,13.05,-1111.45,2,66
838.00,13.09,-1111.67,2,67
867.24,13.16,-1111.89,2,68
896.49,13.27,-1112.10,2,69
925.73,13.45,-1112.32,2,70
954.98,13.74,-1112.54,2,71
984.22,14.17,-1112.76,2,72
1013.47,14.27,-1112.97,2,73
1042.72,14.46,-1113.19,2,74
1071.96,14.67,-1113.41,2,75
1101.21,15.26,-1113.62,2,76
-1121.24,0.00,-1067.38,3,0
-1092.00,0.00,-1067.60,3,1
-1062.75,0.00,-1067.81,3,2
-1033.51,0.00,-1068.03,3,3
-1004.26,0.00,-1068.24,3,4
-975.02,0.00,-1068.46,3,5
-945.77,0.00,-1068.67,3,6
-916.53,0.00,-1068.89,3,7
-887.28,0.00,-1069.10,3,8
-858.03,0.00,-1069.32,3,9
-828.79,0.00,-1069.53,3,10
-799.54,0.00,-1069.75,3,11
-770.30,0.00,-1069.97,3,12
-741.05,0.00,-1070.18,3,13
-711.81,0.00,-1070.40,3,14
-682.56,0.00,-1070.61,3,15
-653.31,6.30,-1070.83,3,16
-624.07,5.97,-1071.04,3,17
-594.82,6.03,-1071.26,3,18
-565.58,6.21,-1071.47,3,19
-536.33,6.03,-1071.69,3,20
-507.09,6.06,-1071.90,3,21
-477.84,6.12,-1072.12,3,22
-448.60,6.12,-1072.34,3,23
-419.35,6.23,-1072.55,3,24
-390.10,6.31,-1072.77,3,25
-360.86,6.44,-1072.98,3,26
-331.61,6.79,-1073.20,3,27
-302.37,6.77,-1073.41,3,28
-273.12,7.23,-1073.63,3,29
-243.88,7.58,-1073.85,3,30
-214.63,7.44,-1074.06,3,31
-185.38,7.74,-1074.28,3,32
-156.14,7.70,-1074.49,3,33
-126.89,7.64,-1074.71,3,34
-97.65,7.72,-1074.93,3,35
-68.40,7.91,-1075.14,3,36
-39.16,7.81,-1075.36,3,37
-9.91,8.05,-1075.57,3,38
19.34,8.05,-1075.79,3,39
48.58,8.08,-1076.01,3,40
77.83,8.10,-1076.22,3,41
107.07,8.09,-1076.44,3,42
136.32,8.09,-1076.65,3,43
165.56,8.09,-1076.87,3,44
194.81,8.06,-1077.09,3,45
224.06,8.05,-1077.30,3,46
253.30,8.05,-1077.52,3,47
282.55,8.08,-1077.74,3,48
311.79,8.12,-1077.95,3,49
341.04,8.20,-1078.17,3,50
370.28,8.30,-1078.39,3,51
399.53,8.48,-1078.60,3,52
428.78,8.73,-1078.82,3,53
458.02,9.08,-1079.04,3,54
487.27,9.17,-1079.25,3,55
516.51,9.74,-1079.47,3,56
545.76,9.74,-1079.69,3,57
575.00,10.46,-1079.90,3,58
604.25,10.95,-1080.12,3,59
633.50,11.79,-1080.34,3,60
662.74,12.29,-1080.55,3,61
691.99,12.54,-1080.77,3,62
721.23,12.69,-1080.99,3,63
750.48,12.98,-1081.20,3,64
779.73,13.22,-1081.42,3,65
808.97,13.17,-1081.64,3,66
838.22,13.35,-1081.85,3,67
867.46,13.55,-1082.07,3,68
896.71,13.69,-1082.29,3,69
925.95,14.07,-1082.50,3,70
955.20,14.20,-1082.72,3,71
984.45,14.35,-1082.94,3,72
1013.69,14.43,-1083.16,3,73
1042.94,14.70,-1083.37,3,74
1072.18,14.92,-1083.59,3,75
1101.43,15.38,-1083.81,3,76
-1121.02,0.00,-1037.57,4,0
-1091.78,0.00,-1037.78,4,1
-1062.53,0.00,-1038.00,4,2
-1033.29,0.00,-1038.21,4,3
-1004.04,0.00,-1038.43,4,4
-974.80,0.00,-1038.64,4,5
-945.55,0.00,-1038.86,4,6
-916.31,0.00,-1039.07,4,7
-887.06,0.00,-1039.29,4,8
-857.81,0.00,-1039.50,4,9
-828.57,0.00,-1039.72,4,10
-799.32,0.00,-1039.93,4,11
-770.08,0.00,-1040.15,4,12
-740.83,0.00,-1040.36,4,13
-711.59,0.00,-1040.58,4,14
-682.34,0.00,-1040.79,4,15
-653.10,6.51,-1041.01,4,16
-623.85,6.34,-1041.23,4,17
-594.60,6.31,-1041.44,4,18
-565.36,6.42,-1041.66,4,19
-536.11,6.34,-1041.87,4,20
-506.87,6.29,-1042.09,4,21
-477.62,6.26,-1042.30,4,22
-448.38,6.26,-1042.52,4,23
-419.13,6.39,-1042.73,4,24
-389.88,6.49,-1042.95,4,25
-360.64,6.74,-1043.17,4,26
-331.39,6.63,-1043.38,4,27
-302.15,7.02,-1043.60,4,28
-272.90,7.19,-1043.81,4,29
-243.66,7.30,-1044.03,4,30
-214.41,7.61,-1044.24,4,31
-185.16,7.58,-1044.46,4,32
-155.92,7.51,-1044.68,4,33
-126.67,7.54,-1044.89,4,34
-97.43,7.75,-1045.11,4,35
-68.18,7.67,-1045.32,4,36
-38.94,7.72,-1045.54,4,37
-9.69,7.91,-1045.76,4,38
19.56,7.95,-1045.97,4,39
48.80,8.02,-1046.19,4,40
78.05,8.09,-1046.41,4,41
107.29,8.13,-1046.62,4,42
136.54,8.15,-1046.84,4,43
165.78,8.16,-1047.05,4,44
195.03,8.15,-1047.27,4,45
224.28,8.12,-1047.49,4,46
253.52,8.13,-1047.70,4,47
282.77,8.15,-1047.92,4,48
312.01,8.20,-1048.14,4,49
341.26,8.28,-1048.35,4,50
370.51,8.47,-1048.57,4,51
399.75,8.64,-1048.79,4,52
429.00,9.01,-1049.00,4,53
458.24,9.25,-1049.22,4,54
487.49,9.52,-1049.43,4,55
516.73,9.55,-1049.65,4,56
545.98,9.55,-1049.87,4,57
575.23,10.80,-1050.08,4,58
604.47,11.26,-1050.30,4,59
633.72,12.28,-1050.52,4,60
662.96,12.64,-1050.74,4,61
692.21,12.68,-1050.95,4,62
721.45,13.07,-1051.17,4,63
750.70,13.42,-1051.39,4,64
779.95,13.57,-1051.60,4,65
809.19,13.50,-1051.82,4,66
838.44,13.68,-1052.04,4,67
867.68,14.02,-1052.25,4,68
896.93,14.08,-1052.47,4,69
926.18,14.49,-1052.69,4,70
955.42,14.67,-1052.90,4,71
984.67,14.79,-1053.12,4,72
1013.91,14.64,-1053.34,4,73
1043.16,15.03,-1053.56,4,74
1072.41,15.48,-1053.77,4,75
1101.65,15.80,-1053.99,4,76
-1120.81,0.00,-1007.75,5,0
-1091.56,0.00,-1007.97,5,1
-1062.31,0.00,-1008.18,5,2
-1033.07,0.00,-1008.40,5,3
-1003.82,0.00,-1008.61,5,4
-974.58,0.00,-1008.83,5,5
-945.33,0.00,-1009.04,5,6
-916.09,0.00,-1009.26,5,7
-886.84,0.00,-1009.47,5,8
-857.60,0.00,-1009.69,5,9
-828.35,0.00,-1009.90,5,10
-799.10,0.00,-1010.12,5,11
-769.86,0.00,-1010.33,5,12
-740.61,0.00,-1010.55,5,13
-711.37,0.00,-1010.76,5,14
-682.12,6.79,-1010.98,5,15
-652.88,6.79,-1011.19,5,16
-623.63,6.52,-1011.41,5,17
-594.38,6.63,-1011.62,5,18
-565.14,7.02,-1011.84,5,19
-535.89,6.85,-1012.05,5,20
-506.65,6.94,-1012.27,5,21
-477.40,6.62,-1012.49,5,22
-448.16,6.62,-1012.70,5,23
-418.91,6.59,-1012.92,5,24
-389.66,6.59,-1013.13,5,25
-360.42,7.14,-1013.35,5,26
-331.17,7.07,-1013.56,5,27
-301.93,7.24,-1013.78,5,28
-272.68,7.34,-1014.00,5,29
-243.44,7.44,-1014.21,5,30
-214.19,7.47,-1014.43,5,31
-184.94,7.46,-1014.64,5,32
-155.70,7.53,-1014.86,5,33
-126.45,7.46,-1015.08,5,34
-97.21,7.50,-1015.29,5,35
-67.96,7.65,-1015.51,5,36
-38.72,7.64,-1015.72,5,37
-9.47,7.93,-1015.94,5,38
19.78,7.90,-1016.16,5,39
49.02,8.05,-1016.37,5,40
78.27,8.17,-1016.59,5,41
107.51,8.24,-1016.80,5,42
136.76,8.27,-1017.02,5,43
166.01,8.29,-1017.24,5,44
195.25,8.22,-1017.45,5,45
224.50,8.24,-1017.67,5,46
253.74,8.22,-1017.89,5,47
282.99,8.25,-1018.10,5,48
312.23,8.30,-1018.32,5,49
341.48,8.39,-1018.54,5,50
370.73,8.58,-1018.75,5,51
399.97,9.06,-1018.97,5,52
429.22,9.42,-1019.18,5,53
458.46,9.97,-1019.40,5,54
487.71,10.56,-1019.62,5,55
516.95,10.92,-1019.83,5,56
546.20,10.92,-1020.05,5,57
575.45,11.50,-1020.27,5,58
604.69,12.09,-1020.48,5,59
633.94,12.56,-1020.70,5,60
663.18,12.76,-1020.92,5,61
692.43,13.04,-1021.13,5,62
721.68,13.33,-1021.35,5,63
750.92,13.63,-1021.57,5,64
780.17,13.87,-1021.79,5,65
809.41,13.90,-1022.00,5,66
838.66,14.14,-1022.22,5,67
867.91,14.55,-1022.44,5,68
897.15,15.00,-1022.65,5,69
926.40,15.07,-1022.87,5,70
955.64,15.18,-1023.09,5,71
984.89,15.09,-1023.30,5,72
1014.13,15.69,-1023.52,5,73
1043.38,15.27,-1023.74,5,74
1072.63,15.66,-1023.96,5,75
1101.87,16.10,-1024.17,5,76
-1120.59,0.00,-977.93,6,0
-1091.34,0.00,-978.15,6,1
-1062.10,0.00,-978.36,6,2
-1032.85,0.00,-978.58,6,3
-1003.60,0.00,-978.79,6,4
-974.36,0.00,-979.01,6,5
-945.11,0.00,-979.22,6,6
-915.87,0.00,-979.44,6,7
-886.62,0.00,-979.65,6,8
-857.38,0.00,-979.87,6,9
-828.13,0.00,-980.08,6,10
-798.88,0.00,-980.30,6,11
