x,y,z,row,col
-615.73,17.25,-569.75,0,0
-586.48,18.75,-569.96,0,1
-557.23,21.62,-570.18,0,2
-527.98,26.78,-570.39,0,3
-498.74,26.15,-570.60,0,4
-469.49,26.64,-570.81,0,5
-440.24,27.28,-571.03,0,6
-411.00,27.13,-571.24,0,7
-381.75,27.78,-571.45,0,8
-352.50,28.49,-571.66,0,9
-323.25,29.37,-571.88,0,10
-294.01,30.49,-572.09,0,11
-264.76,33.22,-572.30,0,12
-235.51,33.92,-572.51,0,13
-206.26,36.03,-572.73,0,14
-177.02,38.09,-572.94,0,15
-147.77,39.79,-573.15,0,16
-118.52,42.42,-573.36,0,17
-89.27,46.13,-573.58,0,18
-60.03,54.03,-573.79,0,19
-30.78,49.93,-574.00,0,20
-1.53,54.70,-574.22,0,21
27.71,54.73,-574.43,0,22
56.96,55.46,-574.64,0,23
86.21,56.63,-574.86,0,24
115.46,53.96,-575.07,0,25
144.70,46.66,-575.28,0,26
173.95,39.62,-575.49,0,27
203.20,30.31,-575.71,0,28
232.45,23.50,-575.92,0,29
261.69,9.33,-576.13,0,30
290.94,4.86,-576.35,0,31
320.19,4.86,-576.56,0,32
349.44,5.05,-576.77,0,33
378.68,4.86,-576.99,0,34
407.93,4.97,-577.20,0,35
437.18,5.42,-577.41,0,36
466.43,6.84,-577.63,0,37
495.67,7.34,-577.84,0,38
524.92,6.88,-578.05,0,39
554.17,7.72,-578.27,0,40
-615.51,16.73,-539.93,1,0
-586.26,16.84,-540.15,1,1
-557.01,22.53,-540.36,1,2
-527.77,27.24,-540.57,1,3
-498.52,27.64,-540.78,1,4
-469.27,26.86,-541.00,1,5
-440.03,27.20,-541.21,1,6
-410.78,27.92,-541.42,1,7
-381.53,28.46,-541.63,1,8
-352.28,29.75,-541.85,1,9
-323.04,30.45,-542.06,1,10
-293.79,31.51,-542.27,1,11
-264.54,31.43,-542.48,1,12
-235.29,32.73,-542.70,1,13
-206.05,35.82,-542.91,1,14
-176.80,36.00,-543.12,1,15
-147.55,37.42,-543.34,1,16
-118.31,41.35,-543.55,1,17
-89.06,43.82,-543.76,1,18
-59.81,48.25,-543.97,1,19
-30.56,52.46,-544.19,1,20
-1.32,54.99,-544.40,1,21
27.93,56.07,-544.61,1,22
57.18,60.19,-544.83,1,23
86.43,65.75,-545.04,1,24
115.67,64.93,-545.25,1,25
144.92,55.11,-545.46,1,26
174.17,50.30,-545.68,1,27
203.42,39.98,-545.89,1,28
232.66,30.18,-546.10,1,29
261.91,21.77,-546.32,1,30
291.16,6.75,-546.53,1,31
320.41,6.75,-546.74,1,32
349.65,4.97,-546.96,1,33
378.90,5.33,-547.17,1,34
408.15,5.05,-547.38,1,35
437.40,5.21,-547.60,1,36
466.64,6.07,-547.81,1,37
495.89,6.97,-548.02,1,38
525.14,7.20,-548.24,1,39
554.39,6.94,-548.45,1,40
-615.29,16.49,-510.12,2,0
-586.05,16.45,-510.33,2,1
-556.80,21.40,-510.54,2,2
-527.55,27.15,-510.75,2,3
-498.30,26.98,-510.97,2,4
-469.06,27.53,-511.18,2,5
-439.81,27.75,-511.39,2,6
-410.56,28.91,-511.60,2,7
-381.31,29.60,-511.82,2,8
-352.07,30.45,-512.03,2,9
-322.82,32.28,-512.24,2,10
-293.57,31.97,-512.46,2,11
-264.33,33.16,-512.67,2,12
-235.08,33.76,-512.88,2,13
-205.83,36.10,-513.09,2,14
-176.58,36.82,-513.31,2,15
-147.34,37.86,-513.52,2,16
-118.09,41.48,-513.73,2,17
-88.84,44.48,-513.94,2,18
-59.59,46.92,-514.16,2,19
-30.35,47.83,-514.37,2,20
-1.10,54.29,-514.58,2,21
28.15,57.56,-514.80,2,22
57.40,67.35,-515.01,2,23
86.64,75.62,-515.22,2,24
115.89,75.44,-515.44,2,25
145.14,66.21,-515.65,2,26
174.39,56.40,-515.86,2,27
203.63,47.06,-516.07,2,28
232.88,38.21,-516.29,2,29
262.13,29.75,-516.50,2,30
291.38,15.25,-516.71,2,31
320.62,15.25,-516.93,2,32
349.87,5.27,-517.14,2,33
379.12,5.28,-517.35,2,34
408.37,5.28,-517.57,2,35
437.61,5.30,-517.78,2,36
466.86,5.98,-517.99,2,37
496.11,6.88,-518.21,2,38
525.36,7.07,-518.42,2,39
554.60,6.92,-518.64,2,40
-615.08,16.45,-480.30,3,0
-585.83,16.50,-480.51,3,1
-556.58,20.62,-480.73,3,2
-527.33,25.73,-480.94,3,3
-498.09,26.74,-481.15,3,4
-468.84,27.80,-481.36,3,5
-439.59,29.00,-481.58,3,6
-410.35,29.83,-481.79,3,7
-381.10,31.26,-482.00,3,8
-351.85,32.17,-482.21,3,9
-322.60,36.10,-482.43,3,10
-293.36,34.76,-482.64,3,11
-264.11,36.12,-482.85,3,12
-234.86,36.26,-483.06,3,13
-205.61,36.48,-483.28,3,14
-176.37,37.66,-483.49,3,15
-147.12,40.11,-483.70,3,16
-117.87,41.16,-483.92,3,17
-88.62,44.41,-484.13,3,18
-59.38,46.47,-484.34,3,19
-30.13,46.93,-484.55,3,20
-0.88,52.93,-484.77,3,21
28.37,62.95,-484.98,3,22
57.61,74.93,-485.19,3,23
86.86,75.77,-485.41,3,24
116.11,76.49,-485.62,3,25
145.36,75.46,-485.83,3,26
174.60,66.52,-486.04,3,27
203.85,54.52,-486.26,3,28
233.10,45.02,-486.47,3,29
262.35,34.28,-486.68,3,30
291.59,23.61,-486.90,3,31
320.84,23.61,-487.11,3,32
350.09,10.20,-487.32,3,33
379.34,5.68,-487.54,3,34
408.58,5.36,-487.75,3,35
437.83,5.75,-487.96,3,36
467.08,6.35,-488.18,3,37
496.33,6.79,-488.39,3,38
525.57,7.07,-488.60,3,39
554.82,6.92,-488.82,3,40
-614.86,16.45,-450.48,4,0
-585.61,16.92,-450.70,4,1
-556.37,19.96,-450.91,4,2
-527.12,25.99,-451.12,4,3
-497.87,28.97,-451.33,4,4
-468.62,29.35,-451.55,4,5
-439.38,29.56,-451.76,4,6
-410.13,29.57,-451.97,4,7
-380.88,31.70,-452.18,4,8
-351.63,33.33,-452.40,4,9
-322.39,34.59,-452.61,4,10
-293.14,35.35,-452.82,4,11
-263.89,37.23,-453.03,4,12
-234.64,37.58,-453.25,4,13
-205.40,38.01,-453.46,4,14
-176.15,38.25,-453.67,4,15
-146.90,39.79,-453.89,4,16
-117.65,41.89,-454.10,4,17
-88.41,42.75,-454.31,4,18
-59.16,45.94,-454.52,4,19
-29.91,46.94,-454.74,4,20
-0.66,53.17,-454.95,4,21
28.58,64.21,-455.16,4,22
57.83,75.24,-455.38,4,23
87.08,82.30,-455.59,4,24
116.33,84.78,-455.80,4,25
145.57,82.90,-456.02,4,26
174.82,74.03,-456.23,4,27
204.07,62.07,-456.44,4,28
233.32,52.20,-456.65,4,29
262.56,40.20,-456.87,4,30
291.81,29.98,-457.08,4,31
321.06,29.98,-457.29,4,32
350.31,19.17,-457.51,4,33
379.55,6.95,-457.72,4,34
408.80,6.27,-457.93,4,35
438.05,6.38,-458.15,4,36
467.30,6.77,-458.36,4,37
496.54,6.95,-458.57,4,38
525.79,7.14,-458.79,4,39
555.04,6.97,-459.00,4,40
-614.64,16.91,-420.67,5,0
-585.40,16.15,-420.88,5,1
-556.15,20.26,-421.09,5,2
-526.90,27.25,-421.31,5,3
-497.65,27.88,-421.52,5,4
-468.41,27.98,-421.73,5,5
-439.16,28.60,-421.94,5,6
-409.91,29.64,-422.16,5,7
-380.66,32.33,-422.37,5,8
-351.42,34.54,-422.58,5,9
-322.17,35.64,-422.79,5,10
-292.92,36.39,-423.01,5,11
-263.67,35.89,-423.22,5,12
-234.43,36.41,-423.43,5,13
-205.18,38.78,-423.64,5,14
-175.93,38.15,-423.86,5,15
-146.68,40.02,-424.07,5,16
-117.44,41.20,-424.28,5,17
-88.19,43.27,-424.49,5,18
-58.94,45.23,-424.71,5,19
-29.69,48.10,-424.92,5,20
-0.45,52.40,-425.13,5,21
28.80,63.43,-425.35,5,22
58.05,72.22,-425.56,5,23
87.30,85.17,-425.77,5,24
116.54,86.74,-425.99,5,25
145.79,84.55,-426.20,5,26
175.04,79.98,-426.41,5,27
204.29,68.22,-426.63,5,28
233.53,57.62,-426.84,5,29
262.78,47.53,-427.05,5,30
292.03,36.72,-427.26,5,31
321.28,36.72,-427.48,5,32
350.52,26.31,-427.69,5,33
379.77,16.12,-427.90,5,34
409.02,6.73,-428.12,5,35
438.27,7.01,-428.33,5,36
467.51,7.13,-428.54,5,37
496.76,7.06,-428.76,5,38
526.01,7.11,-428.97,5,39
555.26,7.13,-429.19,5,40
-614.43,19.27,-390.85,6,0
-585.18,20.26,-391.06,6,1
-555.93,23.42,-391.28,6,2
-526.68,27.20,-391.49,6,3
-497.44,27.85,-391.70,6,4
