x,y,z,row,col
-562.98,29.37,-553.92,0,0
-533.74,30.49,-554.13,0,1
-504.49,33.22,-554.35,0,2
-475.24,33.92,-554.56,0,3
-445.99,36.03,-554.77,0,4
-416.75,38.09,-554.98,0,5
-387.50,39.79,-555.20,0,6
-358.25,42.42,-555.41,0,7
-329.01,46.13,-555.62,0,8
-299.76,54.03,-555.83,0,9
-270.51,49.93,-556.05,0,10
-241.26,54.70,-556.26,0,11
-212.02,54.73,-556.47,0,12
-182.77,55.46,-556.69,0,13
-153.52,56.63,-556.90,0,14
-124.27,53.96,-557.11,0,15
-95.03,46.66,-557.33,0,16
-65.78,39.62,-557.54,0,17
-36.53,30.31,-557.75,0,18
-7.28,23.50,-557.97,0,19
21.96,9.33,-558.18,0,20
51.21,4.86,-558.39,0,21
80.46,4.86,-558.61,0,22
109.70,5.05,-558.82,0,23
138.95,4.86,-559.03,0,24
168.20,4.97,-559.25,0,25
197.45,5.42,-559.46,0,26
226.69,6.84,-559.67,0,27
255.94,7.34,-559.89,0,28
285.19,6.88,-560.10,0,29
314.44,7.72,-560.31,0,30
343.68,7.16,-560.53,0,31
372.93,7.40,-560.74,0,32
402.18,7.11,-560.95,0,33
431.43,6.92,-561.17,0,34
460.67,6.88,-561.38,0,35
489.92,6.81,-561.59,0,36
519.17,6.79,-561.81,0,37
548.42,6.81,-562.02,0,38
-562.77,30.45,-524.10,1,0
-533.52,31.51,-524.32,1,1
-504.27,31.43,-524.53,1,2
-475.03,32.73,-524.74,1,3
-445.78,35.82,-524.95,1,4
-416.53,36.00,-525.17,1,5
-387.28,37.42,-525.38,1,6
-358.04,41.35,-525.59,1,7
-328.79,43.82,-525.81,1,8
-299.54,48.25,-526.02,1,9
-270.29,52.46,-526.23,1,10
-241.05,54.99,-526.44,1,11
-211.80,56.07,-526.66,1,12
-182.55,60.19,-526.87,1,13
-153.30,65.75,-527.08,1,14
-124.06,64.93,-527.30,1,15
-94.81,55.11,-527.51,1,16
-65.56,50.30,-527.72,1,17
-36.31,39.98,-527.94,1,18
-7.07,30.18,-528.15,1,19
22.18,21.77,-528.36,1,20
51.43,6.75,-528.58,1,21
