x,y,z,row,col
-431.36,34.17,-461.10,0,0
-402.12,40.69,-461.31,0,1
-372.87,48.28,-461.53,0,2
-343.62,57.16,-461.74,0,3
-314.37,54.00,-461.95,0,4
-285.13,43.68,-462.16,0,5
-255.88,29.99,-462.38,0,6
-226.63,15.44,-462.59,0,7
-197.39,3.12,-462.80,0,8
-168.14,3.69,-463.02,0,9
-138.89,3.41,-463.23,0,10
-109.64,2.27,-463.44,0,11
-80.40,3.41,-463.66,0,12
-51.15,3.37,-463.87,0,13
-21.90,3.42,-464.08,0,14
7.34,3.42,-464.30,0,15
36.59,3.42,-464.51,0,16
65.84,3.44,-464.72,0,17
95.09,3.44,-464.94,0,18
124.33,0.00,-465.15,0,19
153.58,0.00,-465.36,0,20
182.83,0.00,-465.58,0,21
212.07,0.00,-465.79,0,22
241.32,0.00,-466.00,0,23
270.57,0.00,-466.22,0,24
299.81,0.00,-466.43,0,25
329.06,0.00,-466.64,0,26
358.31,0.00,-466.86,0,27
387.56,7.11,-467.07,0,28
416.80,7.26,-467.28,0,29
-431.15,34.68,-431.28,1,0
-401.90,39.30,-431.50,1,1
-372.65,43.29,-431.71,1,2
-343.40,50.34,-431.92,1,3
-314.16,44.53,-432.14,1,4
-284.91,41.86,-432.35,1,5
-255.66,34.82,-432.56,1,6
-226.42,24.91,-432.77,1,7
-197.17,5.53,-432.99,1,8
-167.92,3.33,-433.20,1,9
-138.67,3.92,-433.41,1,10
-109.43,3.48,-433.63,1,11
-80.18,3.45,-433.84,1,12
-50.93,3.28,-434.05,1,13
-21.69,3.28,-434.27,1,14
7.56,3.18,-434.48,1,15
36.81,3.45,-434.69,1,16
66.06,3.53,-434.91,1,17
95.30,3.53,-435.12,1,18
124.55,0.00,-435.33,1,19
153.80,0.00,-435.55,1,20
183.04,0.00,-435.76,1,21
212.29,0.00,-435.97,1,22
241.54,0.00,-436.19,1,23
270.79,0.00,-436.40,1,24
300.03,6.59,-436.61,1,25
329.28,6.88,-436.83,1,26
358.53,7.01,-437.04,1,27
387.77,7.09,-437.25,1,28
417.02,7.24,-437.47,1,29
-430.93,39.01,-401.47,2,0
-401.68,39.07,-401.68,2,1
-372.43,40.80,-401.89,2,2
-343.19,45.04,-402.11,2,3
-313.94,47.59,-402.32,2,4
-284.69,41.65,-402.53,2,5
-255.45,39.79,-402.74,2,6
-226.20,31.12,-402.96,2,7
-196.95,16.84,-403.17,2,8
-167.70,4.41,-403.38,2,9
-138.46,3.53,-403.60,2,10
-109.21,4.33,-403.81,2,11
-79.96,4.09,-404.02,2,12
-50.72,3.49,-404.24,2,13
-21.47,3.48,-404.45,2,14
7.78,3.89,-404.66,2,15
