x,y,z
-437.65,0.00,-432.98
-408.41,0.00,-432.98
-379.18,1.00,-432.98
-349.94,7.00,-432.98
-320.70,11.00,-432.98
-291.46,13.00,-432.98
-262.23,17.00,-432.98
-232.99,18.00,-432.98
-203.75,19.00,-432.98
-174.51,20.00,-432.98
-145.27,21.00,-432.98
-116.04,20.00,-432.98
-86.80,20.00,-432.98
-57.56,26.00,-432.98
-28.32,22.58,-432.98
0.91,22.90,-432.98
30.15,26.00,-432.98
59.39,23.00,-432.98
88.63,21.00,-432.98
117.86,22.00,-432.98
147.10,22.00,-432.98
176.34,23.00,-432.98
205.58,23.00,-432.98
234.81,24.00,-432.98
264.05,25.00,-432.98
293.29,26.00,-432.98
322.53,26.00,-432.98
351.77,26.00,-432.98
381.00,25.15,-432.98
410.24,25.00,-432.98
-437.65,0.00,-402.98
-408.41,0.00,-402.98
-379.18,1.00,-402.98
-349.94,7.05,-402.98
-320.70,12.00,-402.98
-291.46,14.00,-402.98
-262.23,14.56,-402.98
-232.99,17.00,-402.98
-203.75,17.00,-402.98
-174.51,17.68,-402.98
-145.27,19.00,-402.98
-116.04,18.00,-402.98
-86.80,19.00,-402.98
-57.56,22.00,-402.98
-28.32,25.00,-402.98
0.91,22.56,-402.98
30.15,24.00,-402.98
59.39,22.00,-402.98
88.63,21.00,-402.98
117.86,21.00,-402.98
147.10,22.00,-402.98
176.34,23.00,-402.98
205.58,24.00,-402.98
234.81,25.00,-402.98
264.05,24.77,-402.98
293.29,25.00,-402.98
322.53,25.00,-402.98
351.77,26.00,-402.98
381.00,24.89,-402.98
410.24,25.00,-402.98
-437.65,0.00,-372.98
-408.41,0.00,-372.98
-379.18,1.00,-372.98
-349.94,10.00,-372.98
-320.70,12.00,-372.98
-291.46,14.00,-372.98
-262.23,15.00,-372.98
-232.99,16.00,-372.98
-203.75,17.00,-372.98
-174.51,17.00,-372.98
-145.27,16.00,-372.98
-116.04,17.39,-372.98
-86.80,17.00,-372.98
-57.56,20.00,-372.98
-28.32,22.00,-372.98
0.91,21.79,-372.98
30.15,22.00,-372.98
59.39,21.00,-372.98
88.63,20.00,-372.98
117.86,21.00,-372.98
147.10,22.16,-372.98
176.34,23.00,-372.98
205.58,24.00,-372.98
234.81,26.00,-372.98
264.05,26.00,-372.98
293.29,24.00,-372.98
322.53,24.59,-372.98
351.77,26.00,-372.98
381.00,24.23,-372.98
410.24,24.00,-372.98
-437.65,0.00,-342.98
-408.41,0.00,-342.98
-379.18,1.00,-342.98
-349.94,7.00,-342.98
-320.70,10.00,-342.98
-291.46,13.00,-342.98
-262.23,15.00,-342.98
-232.99,14.93,-342.98
-203.75,15.81,-342.98
-174.51,16.00,-342.98
-145.27,14.00,-342.98
-116.04,14.00,-342.98
-86.80,16.00,-342.98
-57.56,19.00,-342.98
-28.32,21.00,-342.98
0.91,22.00,-342.98
30.15,22.00,-342.98
59.39,21.00,-342.98
88.63,21.00,-342.98
117.86,21.00,-342.98
147.10,22.00,-342.98
176.34,22.00,-342.98
205.58,24.00,-342.98
234.81,24.01,-342.98
264.05,24.36,-342.98
293.29,25.00,-342.98
322.53,24.00,-342.98
351.77,23.65,-342.98
381.00,22.96,-342.98
410.24,22.00,-342.98
-437.65,0.00,-312.98
-408.41,0.00,-312.98
-379.18,1.00,-312.98
-349.94,5.00,-312.98
-320.70,10.00,-312.98
-291.46,13.00,-312.98
-262.23,14.00,-312.98
-232.99,16.00,-312.98
-203.75,17.00,-312.98
-174.51,16.00,-312.98
-145.27,15.00,-312.98
-116.04,16.06,-312.98
-86.80,17.62,-312.98
-57.56,19.00,-312.98
-28.32,22.00,-312.98
0.91,23.00,-312.98
30.15,21.22,-312.98
59.39,21.15,-312.98
88.63,21.25,-312.98
117.86,22.00,-312.98
147.10,21.70,-312.98
176.34,22.28,-312.98
205.58,23.00,-312.98
234.81,23.37,-312.98
264.05,23.78,-312.98
293.29,25.00,-312.98
322.53,23.00,-312.98
351.77,22.00,-312.98
381.00,21.00,-312.98
410.24,21.00,-312.98
-437.65,0.00,-282.98
-408.41,0.00,-282.98
-379.18,4.00,-282.98
-349.94,8.00,-282.98
-320.70,10.00,-282.98
-291.46,12.00,-282.98
-262.23,12.24,-282.98
-232.99,13.56,-282.98
-203.75,14.44,-282.98
-174.51,14.61,-282.98
-145.27,13.00,-282.98
-116.04,15.30,-282.98
-86.80,16.79,-282.98
-57.56,18.46,-282.98
-28.32,21.00,-282.98
0.91,20.05,-282.98
30.15,23.00,-282.98
59.39,22.00,-282.98
88.63,22.00,-282.98
117.86,21.01,-282.98
147.10,21.00,-282.98
176.34,21.61,-282.98
205.58,22.39,-282.98
234.81,23.04,-282.98
264.05,25.00,-282.98
293.29,23.00,-282.98
322.53,22.48,-282.98
351.77,20.00,-282.98
381.00,21.48,-282.98
410.24,21.64,-282.98
-437.65,0.00,-252.98
-408.41,3.00,-252.98
-379.18,8.00,-252.98
-349.94,10.00,-252.98
-320.70,11.00,-252.98
-291.46,11.00,-252.98
-262.23,11.43,-252.98
-232.99,13.00,-252.98
-203.75,13.24,-252.98
-174.51,13.58,-252.98
-145.27,12.00,-252.98
-116.04,14.32,-252.98
-86.80,15.00,-252.98
-57.56,17.03,-252.98
-28.32,18.00,-252.98
0.91,18.00,-252.98
30.15,18.00,-252.98
59.39,19.25,-252.98
88.63,19.81,-252.98
117.86,21.00,-252.98
147.10,21.00,-252.98
176.34,20.88,-252.98
205.58,21.76,-252.98
234.81,24.00,-252.98
264.05,22.00,-252.98
293.29,21.00,-252.98
322.53,21.86,-252.98
351.77,21.46,-252.98
381.00,20.00,-252.98
410.24,21.37,-252.98
-437.65,0.00,-222.98
-408.41,2.00,-222.98
-379.18,8.00,-222.98
-349.94,10.00,-222.98
-320.70,10.00,-222.98
-291.46,10.00,-222.98
-262.23,10.75,-222.98
-232.99,12.00,-222.98
-203.75,12.74,-222.98
-174.51,13.21,-222.98
-145.27,13.40,-222.98
-116.04,12.00,-222.98
-86.80,14.59,-222.98
-57.56,15.49,-222.98
-28.32,16.23,-222.98
0.91,15.00,-222.98
30.15,15.00,-222.98
59.39,17.00,-222.98
88.63,18.00,-222.98
117.86,19.00,-222.98
147.10,20.00,-222.98
176.34,19.91,-222.98
205.58,20.50,-222.98
234.81,21.35,-222.98
264.05,21.00,-222.98
293.29,21.35,-222.98
322.53,21.56,-222.98
351.77,21.71,-222.98
381.00,22.00,-222.98
410.24,21.74,-222.98
-437.65,0.00,-192.98
-408.41,6.00,-192.98
-379.18,9.00,-192.98
-349.94,9.00,-192.98
-320.70,9.00,-192.98
-291.46,9.00,-192.98
-262.23,10.00,-192.98
-232.99,13.00,-192.98
-203.75,14.00,-192.98
-174.51,13.00,-192.98
-145.27,13.58,-192.98
-116.04,12.00,-192.98
-86.80,13.97,-192.98
-57.56,13.00,-192.98
-28.32,13.00,-192.98
0.91,15.68,-192.98
30.15,16.59,-192.98
59.39,16.00,-192.98
88.63,18.00,-192.98
117.86,18.32,-192.98
147.10,19.00,-192.98
176.34,18.86,-192.98
205.58,19.00,-192.98
234.81,20.20,-192.98
264.05,19.00,-192.98
293.29,20.00,-192.98
322.53,21.00,-192.98
351.77,22.00,-192.98
381.00,22.00,-192.98
410.24,22.00,-192.98
-437.65,0.00,-162.98
-408.41,0.00,-162.98
-379.18,5.00,-162.98
-349.94,9.00,-162.98
-320.70,9.00,-162.98
