x,y,z,row,col
-481.45,17.19,-479.31,0,1
-452.20,16.94,-479.53,0,2
-422.96,17.08,-479.74,0,3
-393.71,17.20,-479.96,0,4
-364.47,17.30,-480.18,0,5
-335.22,17.50,-480.39,0,6
-305.98,17.92,-480.61,0,7
-276.73,18.24,-480.83,0,8
-247.49,18.16,-481.04,0,9
-218.24,18.50,-481.26,0,10
-189.00,18.35,-481.47,0,11
-159.75,18.99,-481.69,0,12
-130.51,19.14,-481.91,0,13
-101.26,18.39,-482.12,0,14
-72.02,18.99,-482.34,0,15
-42.77,18.36,-482.56,0,16
-13.53,18.41,-482.77,0,17
15.72,18.50,-482.99,0,18
44.96,18.67,-483.21,0,19
74.21,18.67,-483.42,0,20
103.45,18.83,-483.64,0,21
132.70,19.79,-483.86,0,22
161.94,20.83,-484.08,0,23
191.19,21.43,-484.29,0,24
220.43,21.74,-484.51,0,25
249.68,21.91,-484.73,0,26
278.92,21.75,-484.94,0,27
308.17,22.34,-485.16,0,28
337.41,23.14,-485.38,0,29
366.66,23.73,-485.59,0,30
395.91,23.99,-485.81,0,31
425.15,24.31,-486.03,0,32
454.40,24.50,-486.25,0,33
483.64,24.01,-486.46,0,34
-481.23,16.84,-449.49,1,1
-451.98,17.22,-449.71,1,2
-422.74,17.24,-449.93,1,3
-393.49,17.22,-450.14,1,4
-364.25,17.44,-450.36,1,5
-335.00,17.62,-450.58,1,6
-305.76,17.86,-450.79,1,7
-276.51,17.72,-451.01,1,8
-247.27,17.57,-451.22,1,9
-218.02,17.59,-451.44,1,10
-188.78,17.78,-451.66,1,11
-159.53,18.00,-451.87,1,12
-130.29,18.25,-452.09,1,13
-101.04,18.13,-452.31,1,14
-71.80,18.13,-452.52,1,15
-42.55,18.21,-452.74,1,16
-13.31,18.24,-452.96,1,17
15.94,18.30,-453.17,1,18
45.18,18.60,-453.39,1,19
74.43,18.60,-453.61,1,20
103.68,19.45,-453.82,1,21
132.92,19.67,-454.04,1,22
162.17,20.18,-454.26,1,23
191.41,20.71,-454.48,1,24
220.66,21.60,-454.69,1,25
249.90,21.10,-454.91,1,26
279.15,21.55,-455.13,1,27
308.39,21.15,-455.34,1,28
337.64,21.46,-455.56,1,29
366.88,22.54,-455.78,1,30
396.13,22.84,-455.99,1,31
425.37,23.19,-456.21,1,32
454.62,24.20,-456.43,1,33
483.86,23.06,-456.65,1,34
-481.01,16.01,-419.68,2,1
-451.76,17.59,-419.89,2,2
-422.52,20.29,-420.11,2,3
-393.27,21.67,-420.33,2,4
-364.03,21.75,-420.54,2,5
-334.78,18.26,-420.76,2,6
-305.54,17.12,-420.98,2,7
-276.29,16.61,-421.19,2,8
-247.05,17.01,-421.41,2,9
-217.80,17.63,-421.62,2,10
-188.56,17.16,-421.84,2,11
-159.31,17.17,-422.06,2,12
-130.06,17.31,-422.27,2,13
-100.82,16.86,-422.49,2,14
-71.57,16.69,-422.71,2,15
-42.33,17.50,-422.92,2,16
-13.08,16.91,-423.14,2,17
16.16,17.04,-423.36,2,18
45.41,18.43,-423.57,2,19
74.65,18.43,-423.79,2,20
103.90,18.29,-424.01,2,21
133.14,19.28,-424.22,2,22
162.39,19.46,-424.44,2,23
191.63,20.19,-424.66,2,24
220.88,20.53,-424.87,2,25
250.12,21.01,-425.09,2,26
279.37,21.01,-425.31,2,27
308.61,20.93,-425.53,2,28
337.86,20.96,-425.74,2,29
367.10,21.16,-425.96,2,30
396.35,21.78,-426.18,2,31
425.59,22.26,-426.39,2,32
454.84,22.73,-426.61,2,33
484.08,22.93,-426.83,2,34
-480.79,14.67,-389.86,3,1
-451.54,16.72,-390.08,3,2
-422.30,21.52,-390.29,3,3
-393.05,18.06,-390.51,3,4
-363.81,16.30,-390.73,3,5
-334.56,16.88,-390.94,3,6
-305.32,16.34,-391.16,3,7
-276.07,16.05,-391.37,3,8
-246.82,15.55,-391.59,3,9
-217.58,15.85,-391.81,3,10
-188.33,16.90,-392.02,3,11
-159.09,16.70,-392.24,3,12
-129.84,16.47,-392.46,3,13
-100.60,16.33,-392.67,3,14
-71.35,16.41,-392.89,3,15
-42.11,16.52,-393.11,3,16
-12.86,16.93,-393.32,3,17
16.38,18.00,-393.54,3,18
45.63,17.99,-393.76,3,19
74.87,17.99,-393.97,3,20
104.12,18.09,-394.19,3,21
133.36,18.79,-394.41,3,22
162.61,19.54,-394.62,3,23
191.85,20.18,-394.84,3,24
221.10,19.64,-395.06,3,25
250.34,20.02,-395.27,3,26
279.59,19.96,-395.49,3,27
308.83,20.42,-395.71,3,28
338.08,19.95,-395.93,3,29
367.32,20.89,-396.14,3,30
396.57,21.14,-396.36,3,31
425.81,21.52,-396.58,3,32
455.06,21.74,-396.79,3,33
484.30,22.34,-397.01,3,34
-480.57,14.92,-360.04,4,1
-451.32,14.46,-360.26,4,2
-422.08,14.71,-360.48,4,3
-392.83,15.94,-360.69,4,4
-363.58,16.03,-360.91,4,5
-334.34,14.70,-361.12,4,6
-305.09,14.13,-361.34,4,7
-275.85,13.75,-361.56,4,8
-246.60,14.43,-361.77,4,9
-217.36,14.81,-361.99,4,10
-188.11,15.15,-362.21,4,11
-158.87,15.56,-362.42,4,12
-129.62,16.04,-362.64,4,13
-100.38,16.36,-362.86,4,14
-71.13,16.14,-363.07,4,15
-41.89,16.51,-363.29,4,16
-12.64,16.79,-363.51,4,17
16.60,17.39,-363.72,4,18
45.85,18.05,-363.94,4,19
75.09,18.05,-364.16,4,20
104.34,17.87,-364.37,4,21
133.58,18.79,-364.59,4,22
162.83,19.38,-364.81,4,23
192.07,19.60,-365.02,4,24
221.32,18.96,-365.24,4,25
250.56,19.42,-365.46,4,26
279.81,19.42,-365.67,4,27
309.05,19.52,-365.89,4,28
338.30,20.13,-366.11,4,29
367.55,20.30,-366.33,4,30
396.79,20.51,-366.54,4,31
426.04,20.70,-366.76,4,32
455.28,20.82,-366.98,4,33
484.53,21.46,-367.19,4,34
-480.34,12.18,-330.23,5,1
-451.10,13.11,-330.44,5,2
-421.85,13.27,-330.66,5,3
-392.61,12.34,-330.88,5,4
-363.36,12.43,-331.09,5,5
-334.12,13.02,-331.31,5,6
-304.87,12.75,-331.52,5,7
-275.63,12.86,-331.74,5,8
-246.38,13.08,-331.96,5,9
-217.14,13.24,-332.17,5,10
-187.89,14.87,-332.39,5,11
-158.65,14.84,-332.61,5,12
-129.40,15.16,-332.82,5,13
-100.16,15.41,-333.04,5,14
-70.91,15.46,-333.26,5,15
-41.67,15.87,-333.47,5,16
-12.42,16.50,-333.69,5,17
16.82,16.09,-333.91,5,18
46.07,16.23,-334.12,5,19
75.31,16.23,-334.34,5,20
104.56,17.38,-334.56,5,21
133.80,18.21,-334.77,5,22
163.05,18.09,-334.99,5,23
